category,name,producer,url,price,barcode
Κάβα,ΣΟΔΑ ΦΙΑΛΗ 4 X 500 ML,SCHWEPPES,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Soda-Tonik-Mixers/SODA-FIALI-4-X-500-ML/p/7140031,"2,32",4156106
Κάβα,Ice Tea Πράσινο Τσάι Λεμόνι 6X330 gr,LIPTON,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/Ice-Tea-Prasino-Tsai-Lemoni-6X330-gr/p/7306767,"5,75",4170142
Κάβα,READY TO DRINK LIME 275 ML,BACARDI- BREEZER,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Pota/Cocktail-mix-RTD/READY-TO-DRINK-LIME-275-ML/p/7096763,"1,98",4070897
Κάβα,ΣΟΔΑ ΦΙΑΛΗ 500 ML,TUBORG,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Soda-Tonik-Mixers/SODA-FIALI-500-ML/p/7092857,"0,67",4150031
Κάβα,ΤΟΝΙΚ ΚΟΥΤΙ 330 ML,TUBORG,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Soda-Tonik-Mixers/TONIK-KOYTI-330-ML/p/7092785,"0,60",4150019
Κάβα,ΟΥΙΣΚΙ BLACK LABEL 700 ML,JOHNNIE WALKER,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Pota/Oyisky/OYISKI-BLACK-LABEL-700-ML/p/7091349,"29,90",4070160
Κάβα,Ice Tea Λεμόνι 6X330 gr,LIPTON,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/Ice-Tea-Lemoni-6X330-gr/p/7306851,"4,80",4170131
Κάβα,Ice Tea Ροδάκινο 6X330 gr,LIPTON,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/Ice-Tea-Rodakino-6X330-gr/p/7306803,"4,80",4170121
Κάβα,ΑΝΑΨΥΚΤΙΚΟ COLA 0% ΖΑΧΑΡΗ ΚΟΥΤΙ 6 Χ 330 ML 5 + 1 ΔΩΡΟ,PURE,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Cola/ANAPsYKTIKO-COLA-0-ZAChARI-KOYTI-6-Ch-330-ML-5-1-DORO/p/7232702,"2,60",4149777
Κάβα,ΟΙΝΟΣ ΕΡΥΘΡΟΣ  750 ML,CARAMELO,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Erythra-krasia/OINOS-ERYThROS-750-ML/p/7104076,"8,50",4021323
Κάβα,ΟΙΝΟΣ ΕΡΥΘΡΟΣ SPECIAL 2 LT,ΕΑΣ ΝΕΜΕΑΣ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Erythra-krasia/OINOS-ERYThROS-SPECIAL-2-LT/p/7087473,"7,54",4020727
Κάβα,ICE TEA ΡΟΔΑΚΙΝΟ 500ML,LIFE,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/ICE-TEA-RODAKINO-500ML/p/7103218,"1,18",4170441
Κάβα,ΙΣΟΤΟΝΙΚΟ ΦΙΑΛΗ 500 ML,LUCOZADE,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Energeiaka-Isotonika/ISOTONIKO-FIALI-500-ML/p/7093011,"1,54",4160303
Κάβα,ΟΙΝΟΣ ΛΕΥΚΟΣ SAUVIGNON 500 ML,ΓΕΝΕΣΙΣ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Leyka-krasia/OINOS-LEYKOS-SAUVIGNON-500-ML/p/7098273,"3,08",4000516
Κάβα,ΟΙΝΟΣ ΕΡΥΘΡΟΣ CHIANTI ΙΤΑΛΙΚΟΣ 750 ML,COLILI SENESI,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Erythra-krasia/OINOS-ERYThROS-CHIANTI-ITALIKOS-750-ML/p/7088035,"6,66",4020389
Κάβα,ΑΝΑΨΥΚΤΙΚΟ COLA ΣΤΕΒΙΑ ΚΟΥΤΙ 330 ML,COCA COLA,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Cola/ANAPsYKTIKO-COLA-STEVIA-KOYTI-330-ML/p/7321538,"0,66",4140524
Κάβα,ΝΈΡΟ ΚΑΡΥΔΑΣ  330 ML,VITA COCO,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Epitrapezio-Metalliko/NERO-KARYDAS-330-ML/p/7103119,"2,29",4131228
Κάβα,Ice Tea Λεμόνι  500 ml,LIPTON,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/Ice-Tea-Lemoni-500-ml/p/7093045,"1,22",4170273
Κάβα,ΟΙΝΟΣ ΕΡΥΘΡΟΣ CABERNET SAUVIGNION 750 ML,ΑΒ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Erythra-krasia/OINOS-ERYThROS-CABERNET-SAUVIGNION-750-ML/p/7091714,"6,40",4020249
Κάβα,ΡΕΤΣΙΝΑ  500 ML,ΚΟΥΡΤΑΚΗ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Leyka-krasia/RETSINA-500-ML/p/7091201,"1,69",4040004
Κάβα,"ΑΝΑΨΥΚΤΙΚΟ ΛΕΜΟΝΑΔΑ ΦΙΑΛΗ 1,5 LT",ΕΨΑ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Lemonada/ANAPsYKTIKO-LEMONADA-FIALI-1-5-LT/p/7092755,"1,70",4141983
Κάβα,ΑΝΑΨΥΚΤΙΚΟ ΛΕΜΟΝΙΤΑ ΚΟΥΤΙ 6 X 330 ML,HBH,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Lemonada/ANAPsYKTIKO-LEMONITA-KOYTI-6-X-330-ML/p/7092725,"3,48",4140096
Κάβα,ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΝΕΡΟ  500 ML,ΑΥΡΑ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Epitrapezio-Metalliko/FYSIKO-METALLIKO-NERO-500-ML/p/7092105,"0,30",4120484
Κάβα,Ice Tea Πράσινο Τσάι 6X330 gr,LIPTON,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/Ice-Tea-Prasino-Tsai-6X330-gr/p/7306852,"4,92",4170141
Κάβα,ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΝΕΡΟ ΜΙΤΣΙΚΕΛΙ 6 X1.5LΤ,ΒΙΚΟΣ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Epitrapezio-Metalliko/FYSIKO-METALLIKO-NERO-MITSIKELI-6-X1-5LT/p/7518753,"1,55",4120571
Κάβα,ΟΙΝΟΣ ΛΕΥΚΟΣ  750 ML,ΚΤΗΜΑ Ν. ΛΑΖΑΡΙΔΗ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Leyka-krasia/OINOS-LEYKOS-750-ML/p/7087481,"10,90",4000665
Κάβα,ΟΙΝΟΣ ΕΡΥΘΡΟΣ ΑΣΚΟΣ 5 LT,ΜΠΑΡΜΠΑΣΑΙΝΑ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Erythra-krasia/OINOS-ERYThROS-ASKOS-5-LT/p/7096953,"9,39",4020426
Κάβα,ΣΟΔΑ ΚΟΥΤΙ 330 ML,SCHWEPPES,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Soda-Tonik-Mixers/SODA-KOYTI-330-ML/p/7072052,"0,40",4156077
Κάβα,ΟΥΖΟ  200 ML,ΤΣΑΝΤΑΛΗ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Pota/Oyzo/OYZO-200-ML/p/7097932,"3,32",4060496
Κάβα,Αναψυκτικό Φιάλη 3+1 Τεμάχιο Δώρο 4X500 ml,COCA COLA,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Cola/Anapsyktiko-Fiali-3-1-Temachio-Doro-4X500-ml/p/7127842,"2,79",4142494
Κάβα,ΤΣΑΙ ΜΥΡΤΙΛΟ  450 ML,ARIZONA,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/TSAI-MYRTILO-450-ML/p/7485874,"1,28",4170662
Κάβα,ΑΝΑΨΥΚΤΙΚΟ ΠΟΡΤΟΚΑΛΙ ΜΠΛΕ ΧΩΡΙΣ ΑΝΘΡΑΚΙΚΟ ΚΟΥΤΙ 330 ML,FANTA,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Portokalada/ANAPsYKTIKO-PORTOKALI-MPLE-ChORIS-ANThRAKIKO-KOYTI-330-ML/p/7092561,"0,60",4140165
Κάβα,"ΕΠΙΤΡΑΠΕΖΙΟ ΦΥΣΙΚΟ ΝΕΡΟ  1,5 LT",ΑΒ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Epitrapezio-Metalliko/EPITRAPEZIO-FYSIKO-NERO-1-5-LT/p/7092031,"0,22",4120456
Κάβα,ΑΝΑΨΥΚΤΙΚΟ ΠΟΡΤΟΚΑΛΑΔΑ ΧΩΡΙΣ ΑΝΘΡΑΚΙΚΟ 330 ML,GREEN,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Portokalada/ANAPsYKTIKO-PORTOKALADA-ChORIS-ANThRAKIKO-330-ML/p/7421754,"0,58",4140742
Κάβα,ΑΝΘΡΑΚΟΥΧΟ ΝΕΡΟ SLIM CAN LIME  250 ML,PERRIER,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Anthrakoycho/ANThRAKOYChO-NERO-SLIM-CAN-LIME-250-ML/p/7148049,"0,68",4124518
Κάβα,"ΑΝΑΨΥΚΤΙΚΟ ΠΟΡΤΟΚΑΛΑΔΑ ΜΠΛΕ ΦΙΑΛΗ 1,5 LT",ΕΨΑ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Portokalada/ANAPsYKTIKO-PORTOKALADA-MPLE-FIALI-1-5-LT/p/7092632,"1,70",4141987
Κάβα,ΤΟΝΙΚ INDIAN ΚΟΥΤΙ 330 ML,SCHWEPPES,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Soda-Tonik-Mixers/TONIK-INDIAN-KOYTI-330-ML/p/7128867,"0,57",4156092
Κάβα,ΟΙΝΟΣ ΡΟΖΕ  750 ML,ΚΤΗΜΑ ΧΑΤΖΗΜΙΧΑΛΗ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Krasia-roze/OINOS-ROZE-750-ML/p/7090982,"8,55",4010157
Κάβα,ΟΙΝΟΣ ΛΕΥΚΟΣ ΜΟΣΧΟΦΙΛΕΡΟ ΜΑΝΤΙΝΕΙΑ 750 ML,ΕΛΛΗΝΙΚΑ ΚΕΛΑΡΙΑ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Leyka-krasia/OINOS-LEYKOS-MOSChOFILERO-MANTINEIA-750-ML/p/7091925,"7,75",4000312
Κάβα,ΟΥΙΣΚΙ  700 ML,GLENFIDICH,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Pota/Oyisky/OYISKI-700-ML/p/7091309,"29,94",4070764
Κάβα,ΜΑΥΡΟ ΤΣΑΙ ΜΕ ΛΕΜΟΝΙ  450 ML,ARIZONA,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/MAYRO-TSAI-ME-LEMONI-450-ML/p/7489167,"1,14",4170681
Κάβα,ΟΙΝΟΣ ΕΡΥΘΡΟΣ SPECIAL 750 ML,ΕΑΣ ΝΕΜΕΑΣ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Erythra-krasia/OINOS-ERYThROS-SPECIAL-750-ML/p/7091040,"3,70",4020078
Κάβα,ΛΙΚΕΡ ΜΑΣΤΙΧΑ SPIRIT 350 ML,SKINOS,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Pota/Aperitif-Choneytika/LIKER-MASTIChA-SPIRIT-350-ML/p/7102822,"10,43",4060717
Κάβα,ΑΝΑΨΥΚΤΙΚΟ ΠΟΡΤΟΚΑΛΑΔΑ ΜΠΛΕ ΦΙΑΛΗ 1.5 LT,ΛΟΥΞ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Portokalada/ANAPsYKTIKO-PORTOKALADA-MPLE-FIALI-1-5-LT/p/7103808,"1,63",4142371
Κάβα,ΑΝΘΡΑΚΟΥΧΟ ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΝΕΡΟ  800 ML,VOSS,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Anthrakoycho/ANThRAKOYChO-FYSIKO-METALLIKO-NERO-800-ML/p/7091368,"3,07",4120030
Κάβα,ΛΙΚΕΡ  700 ML,BAILEY'S,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Pota/Liker/LIKER-700-ML/p/7091419,"17,62",4080061
Κάβα,ΜΗΛΙΤΗ ΦΙΑΛΗ 330 ML,STRONGBOW,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Pota/Militis/MILITI-FIALI-330-ML/p/7150809,"1,17",4117935
Κάβα,Οίνος Ερυθρός Αγιωργίτικο 1.5 Lt,ΑΒ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Erythra-krasia/Oinos-Erythros-Agiorgitiko-1-5-Lt/p/7104719,"5,73",4021351
Κάβα,ΒΟΤΚΑ  700 ML,ABSOLUT,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Pota/Botka-Tzin-Roymi/VOTKA-700-ML/p/7091516,"17,50",4070073
Κάβα,ΕΝΕΡΓΕΙΑΚΟ ΠΟΤΟ ΚΟΥΤΙ 500 ML,MONSTER,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Energeiaka-Isotonika/ENERGEIAKO-POTO-KOYTI-500-ML/p/7103069,"1,48",4160299
Κάβα,ICE TEA ΡΟΔΑΚΙΝΟ ΦΙΑΛΗ 500 ML,LIPTON,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/ICE-TEA-RODAKINO-FIALI-500-ML/p/7093043,"1,22",4170272
Κάβα,ΟΥΖΟ  200 ML,ΑΒ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Pota/Oyzo/OYZO-200-ML/p/7091277,"2,32",4060520
Κάβα,ΜΑΥΡΟ ΤΣΑΙ ΡΟΔΑΚΙΝΟ  450 ML,ARIZONA,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/MAYRO-TSAI-RODAKINO-450-ML/p/7489150,"1,14",4170671
Κάβα,ΜΗΛΙΤΗ RED BERRIES ΦΙΑΛΗ 330 ML,STRONGBOW,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Pota/Militis/MILITI-RED-BERRIES-FIALI-330-ML/p/7150807,"1,17",4117436
Κάβα,ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΝΕΡΟ ΦΙΑΛΗ 1 LT,ΖΑΓΟΡΙ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Epitrapezio-Metalliko/FYSIKO-METALLIKO-NERO-FIALI-1-LT/p/7132588,"0,95",4120765
Κάβα,ΟΙΝΟΣ ΛΕΥΚΟΣ SAUVIGNON BLANC 750 ML,ΚΤΗΜΑ ΑΒΑΝΤΙΣ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Leyka-krasia/OINOS-LEYKOS-SAUVIGNON-BLANC-750-ML/p/7098751,"10,50",4000531
Κάβα,ΟΙΝΟΣ ΕΡΥΘΡΟΣ ΞΙΝΟΜΑΥΡΟ 750 ML,ΚΤΗΜΑ ΑΛΦΑ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Erythra-krasia/OINOS-ERYThROS-XINOMAYRO-750-ML/p/7104080,"14,20",4021324
Κάβα,ΟΙΝΟΣ ΛΕΥΚΟΣ ΜΑΝΤΙΝΕΙΑ 750 ML,ΚΤΗΜΑ ΤΣΕΛΕΠΟΥ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Leyka-krasia/OINOS-LEYKOS-MANTINEIA-750-ML/p/7090786,"9,70",4000419
